청크번호: 64 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제1절 대인배상I | 조항: 제4조(피보험자) | 내용: 2. 친족피보험자

청크번호: 65 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제1절 대인배상I | 조항: 제4조(피보험자) | 내용: 3. 승낙피보험자

청크번호: 66 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제1절 대인배상I | 조항: 제4조(피보험자) | 내용: 4. 사용피보험자

청크번호: 67 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제1절 대인배상I | 조항: 제4조(피보험자) | 내용: 5. 운전피보험자

청크번호: 68 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제1절 대인배상I | 조항: 제5조(보상하지 않는 손해) | 내용: 보험계약자 또는 피보험자의 고의로 인한 손해는 「대인배상I」에서 보상하지 않습니다. 다만, 「자동차손해배상보장법」 제10조의 규정에 따라 피해자가 보험회사에 직접청구를 한 경우, 보험회사는 자동차손해배상보장법령에서 정한 금액을 한도로 피해자에게 손해배상금을 지급한 다음 지급한 날부터 3년 이내에 고의로 사고를 일으킨 보험계약자나 피보험자에게 그 금액의 지급을 청구합니다.

청크번호: 69 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제2절 대인배상II와 대물배상 | 조항: 제6조(보상하는 손해) | 내용: 1 「대인배상II」에서 보험회사는 피보험자가 피보험자동차를 소유ᆞ사용ᆞ관리하는 동안에 생긴 피보험자동차의 사고로 인하여 다른 사람을 죽게 하거나 다치게 하여 법률상 손해배상책임을 짐으로써 입은 손해(「대인배상I」에서 보상하는 손해를 초과하는 손해에 한함)를 보상합니다. 2 「대물배상」에서 보험회사는 피보험자가 피보험자동차를 소유ᆞ사용ᆞ관리하는 동안에 생긴 피보험자동차의 사고로 인하여 다른 사람의 재물을 없애거나 훼손하여 법률상 손해배상책임을 짐으로써 입은 손해를 보상합니다.

청크번호: 70 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제2절 대인배상II와 대물배상 | 조항: 제7조(피보험자) | 내용: 「대인배상II」와 「대물배상」에서 피보험자라 함은 다음 중 어느 하나에 해당하는 자를 말합니다.

청크번호: 71 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제2절 대인배상II와 대물배상 | 조항: 제7조(피보험자) | 내용: 1. 기명피보험자

청크번호: 72 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제2절 대인배상II와 대물배상 | 조항: 제7조(피보험자) | 내용: 2. 친족피보험자

청크번호: 73 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제2절 대인배상II와 대물배상 | 조항: 제7조(피보험자) | 내용: 3. 승낙피보험자. 다만, 자동차 취급업자가 업무상 위탁받은 피보험자동차를 사용하거나 관리하는 경우에는 피보험자로 보지 않습니다.

청크번호: 74 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제2절 대인배상II와 대물배상 | 조항: 제7조(피보험자) | 내용: 4. 사용피보험자

청크번호: 75 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제2절 대인배상II와 대물배상 | 조항: 제7조(피보험자) | 내용: 5. 운전피보험자. 다만, 자동차 취급업자가 업무상 위탁받은 피보험자동차를 사용하거나 관리하는 경우에는 피보험자로 보지 않습니다.

청크번호: 76 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제2절 대인배상II와 대물배상 | 조항: 제8조(보상하지 않는 손해) | 내용: 1 다음 중 어느 하나에 해당하는 손해는 「대인배상II」와 「대물배상」에서 보상하지 않습니다.

청크번호: 77 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제2절 대인배상II와 대물배상 | 조항: 제8조(보상하지 않는 손해) | 내용: 1. 보험계약자 또는 기명피보험자의 고의로 인한 손해

청크번호: 78 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제2절 대인배상II와 대물배상 | 조항: 제8조(보상하지 않는 손해) | 내용: 2. 기명피보험자 이외의 피보험자의 고의로 인한 손해

청크번호: 79 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제2절 대인배상II와 대물배상 | 조항: 제8조(보상하지 않는 손해) | 내용: 3. 전쟁, 혁명, 내란, 사변, 폭동, 소요 또는 이와 유사한 사태로 인한 손해

청크번호: 80 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제2절 대인배상II와 대물배상 | 조항: 제8조(보상하지 않는 손해) | 내용: 4. 지진, 분화, 태풍, 홍수, 해일 등 천재지변으로 인한 손해

청크번호: 81 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제2절 대인배상II와 대물배상 | 조항: 제8조(보상하지 않는 손해) | 내용: 5. 핵연료물질의 직접 또는 간접적인 영향으로 인한 손해

